"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-YCR010C",93813.9425252378,-7.60147198535194,0.268852144003086,-28.2738008786893,7.25792736163344e-176,4.57684899424605e-172
"gene-YDR345C",44004.0888488117,6.10042065916196,0.22796313318669,26.7605580511391,9.30543919971862e-158,2.93400497967128e-154
"gene-YMR303C",63561.3211090224,-6.70868252315592,0.252271180718402,-26.5931387963197,8.14908229345056e-156,1.71293709808331e-152
"gene-YOL154W",25862.4816457531,5.53560915245836,0.219403641751068,25.2302519150479,1.86583236731327e-140,2.94148472706938e-137
"gene-YIL057C",12719.3656552844,-6.52771400521533,0.260266813283609,-25.080854231316,8.04639270686945e-139,1.01481104819038e-135
"gene-YKL217W",104882.17650244,-6.52839115570243,0.261812798193852,-24.9353400625918,3.07986695414747e-137,3.23694016880899e-134
"gene-YER024W",56750.4891069712,-4.87115163163287,0.211107286002456,-23.0742942314942,8.39078280801148e-118,7.55889662676005e-115
"gene-YPR001W",23545.6231655548,-6.07275665295935,0.26480597163939,-22.9328538754751,2.18523409089347e-116,1.72251077214678e-113
"gene-YHR137W",16143.6599906061,-5.84377090301071,0.269805533756482,-21.6591958721096,4.97848129917476e-104,3.48825589695512e-101
"gene-YAL054C",27558.1749266924,-4.4344553281191,0.208649214973413,-21.2531608550943,3.08202669119344e-100,1.94352603146658e-97
"gene-YDR040C",5907.85324218516,-5.33127103918218,0.260327713764197,-20.4790760157454,3.30875184380001e-93,1.8968171933639e-90
"gene-YLR327C",53592.684464108,-4.26622131147477,0.213732388308058,-19.9605747413712,1.2130907412609e-88,6.37479184532601e-86
"gene-YOR100C",3010.65378078812,-4.78429434620558,0.249804501367984,-19.152154264658,9.2864530088567e-82,4.50464405183464e-79
"gene-YER179W",10394.4580582724,-4.16966994560459,0.236234695885512,-17.6505399851399,1.0078791966133e-69,4.53977586703104e-67
"gene-YOR348C",19371.0958036858,-4.99603423745398,0.284739775134517,-17.5459653822292,6.3858408993308e-69,2.68460751407867e-66
"gene-YML054C",21444.2659207908,-4.77742271011972,0.277276853467108,-17.2297927157719,1.58719075337599e-66,6.25551555674311e-64
"gene-YGL029W",5424.27319782058,3.89445635219046,0.236979999011682,16.4336921614996,1.09767295258855e-60,4.07172096413139e-58
"gene-YKR097W",5365.099295971,-3.9480938140547,0.240668558000777,-16.4046930220189,1.77019233601113e-60,6.20157381715898e-58
"gene-YGR067C",8845.66600549004,-4.94896776398831,0.302113042458465,-16.3811787922685,2.60642459883049e-60,8.65058606327636e-58
"gene-YKL172W",62175.6553364149,3.48509312347309,0.216244929779756,16.1164154323648,1.95632722916317e-58,6.16829975355146e-56
"gene-YGL205W",12377.7308670675,-5.19060519127921,0.328610089146951,-15.7956355045387,3.334161076124e-56,1.00120094028752e-53
"gene-YDR256C",34870.4373650338,-5.31322860590875,0.338274706500339,-15.7068456606684,1.35768177000365e-55,3.89160965529229e-53
"gene-YLR377C",17071.0577852951,-4.22030315606179,0.270359451388748,-15.6099708531863,6.22654286551174e-55,1.70715562217031e-52
"gene-YKL082C",36006.1938362503,3.45057484102459,0.221401780712164,15.5851268672069,9.18807573354831e-55,2.41416689898982e-52
"gene-YPR002W",43488.7423585255,-4.81927961292678,0.310832148595689,-15.5044439087135,3.23707122606867e-54,8.16518846063562e-52
"gene-YNL036W",20615.9211589694,-3.94433926399961,0.26335815395687,-14.9770918604084,1.03654363516325e-50,2.5140169858998e-48
"gene-YER065C",21758.010531738,-3.18323384773015,0.219175789687486,-14.5236563411908,8.5808391804251e-48,2.00410266191706e-45
"gene-YHL028W",1451.10034137962,3.804306297727,0.272827690836191,13.9439889186731,3.42263985962848e-44,7.70827391243471e-42
"gene-YOR310C",47431.0216574143,2.93686709805539,0.212261298906231,13.836093122905,1.54371747876258e-43,3.35678704175063e-41
"gene-YPL095C",6434.5957577646,3.13277198603692,0.226472578002447,13.8328976234954,1.61386222571469e-43,3.39233839845229e-41
"gene-YMR319C",6523.92803249998,3.13374198034294,0.227715672821914,13.7616438144497,4.33555558214018e-43,8.81935919386322e-41
"gene-YPR006C",14010.6254839544,-3.43882616933119,0.249972069110759,-13.7568416406054,4.63330047907092e-43,9.13049775656914e-41
"gene-YGR236C",30402.4150021558,-5.9204997557935,0.431656938441436,-13.7157525537997,8.1714122106525e-43,1.56148258789014e-40
"gene-YMR206W",6574.10042268697,-3.54078501998732,0.259630192287787,-13.6378014775051,2.38647243249911e-42,4.42620445862924e-40
"gene-YPL113C",8192.58809470808,-3.51344133272929,0.258630745153224,-13.5847782932682,4.93022590886931e-42,8.88285845180854e-40
"gene-YKR080W",20194.5724080277,3.57179249891058,0.265256250233467,13.4654414203882,2.49820759137044e-41,4.37602696421722e-39
"gene-YLR223C",27311.2535502169,3.00672347550545,0.224157638750666,13.4134330298236,5.04483596577983e-41,8.59803664870475e-39
"gene-YBR054W",3280.50326821051,3.19961426762368,0.238581222525309,13.411006255047,5.21267184808668e-41,8.6502917563249e-39
"gene-YBR092C",8492.51832111579,4.30749793489611,0.321307831175871,13.4061405199252,5.56609691562034e-41,8.99995055125689e-39
"gene-YPL135W",28645.7131271664,-2.90873384207874,0.217534475073908,-13.3713694856435,8.88890410838903e-41,1.40133573268753e-38
